"list","code_1","prompt_1","code_2","prompt_2","code_3","prompt_3","code_4","prompt_4","code_5","prompt_5","code_6","prompt_6","code_7","prompt_7","code_8","prompt_8","code_9","prompt_9","code_10","prompt_10","code_11","prompt_11","code_12","prompt_12"
1,"condition=prior,verb_valence=positive,property_valence=positive","How likely is someone being courageous to inspire people?","condition=prior,verb_valence=negative,property_valence=negative","How likely is someone being jealous to worry people?","condition=positive,verb_valence=negative,property_valence=positive","Jennifer tells you: ""It upsets me that Amanda is playful"". How likely is someone being playful to upset people?","condition=negative,verb_valence=negative,property_valence=negative","Sarah tells you: ""It doesn't upset me that Amanda is rude"". How likely is someone being rude to upset people?","condition=negative,verb_valence=positive,property_valence=negative","Sarah tells you: ""It doesn't comfort me that Nicole is jealous"". How likely is someone being jealous to comfort people?","condition=prior,verb_valence=negative,property_valence=positive","How likely is someone being playful to annoy people?","condition=negative,verb_valence=negative,property_valence=positive","Melissa tells you: ""It doesn't upset me that Sarah is smart"". How likely is someone being smart to upset people?","condition=positive,verb_valence=negative,property_valence=negative","Melissa tells you: ""It annoys me that Jennifer is greedy"". How likely is someone being greedy to annoy people?","condition=positive,verb_valence=positive,property_valence=negative","Stephanie tells you: ""It amuses me that Melissa is jealous"". How likely is someone being jealous to amuse people?","condition=prior,verb_valence=positive,property_valence=negative","How likely is someone being rude to amuse people?","condition=negative,verb_valence=positive,property_valence=positive","Ashley tells you: ""It doesn't comfort me that Jennifer is talented"". How likely is someone being talented to comfort people?","condition=positive,verb_valence=positive,property_valence=positive","Stephanie tells you: ""It amuses me that Jennifer is playful"". How likely is someone being playful to amuse people?"
2,"condition=prior,verb_valence=positive,property_valence=negative","How likely is someone being greedy to delight people?","condition=negative,verb_valence=negative,property_valence=positive","Ashley tells you: ""It doesn't annoy me that Amanda is smart"". How likely is someone being smart to annoy people?","condition=prior,verb_valence=positive,property_valence=positive","How likely is someone being courageous to amuse people?","condition=positive,verb_valence=negative,property_valence=positive","Amanda tells you: ""It annoys me that Melissa is smart"". How likely is someone being smart to annoy people?","condition=negative,verb_valence=positive,property_valence=positive","Jessica tells you: ""It doesn't delight me that Sarah is courageous"". How likely is someone being courageous to delight people?","condition=prior,verb_valence=negative,property_valence=negative","How likely is someone being rude to annoy people?","condition=positive,verb_valence=positive,property_valence=positive","Jennifer tells you: ""It delights me that Jessica is courageous"". How likely is someone being courageous to delight people?","condition=positive,verb_valence=positive,property_valence=negative","Jennifer tells you: ""It amuses me that Stephanie is rude"". How likely is someone being rude to amuse people?","condition=prior,verb_valence=negative,property_valence=positive","How likely is someone being playful to worry people?","condition=negative,verb_valence=positive,property_valence=negative","Ashley tells you: ""It doesn't delight me that Nicole is stupid"". How likely is someone being stupid to delight people?","condition=positive,verb_valence=negative,property_valence=negative","Stephanie tells you: ""It upsets me that Nicole is jealous"". How likely is someone being jealous to upset people?","condition=negative,verb_valence=negative,property_valence=negative","Sarah tells you: ""It doesn't worry me that Ashley is greedy"". How likely is someone being greedy to worry people?"
3,"condition=prior,verb_valence=positive,property_valence=positive","How likely is someone being talented to delight people?","condition=negative,verb_valence=negative,property_valence=positive","Sarah tells you: ""It doesn't bother me that Ashley is courageous"". How likely is someone being courageous to bother people?","condition=prior,verb_valence=negative,property_valence=negative","How likely is someone being jealous to bother people?","condition=positive,verb_valence=negative,property_valence=positive","Nicole tells you: ""It bothers me that Melissa is courageous"". How likely is someone being courageous to bother people?","condition=prior,verb_valence=positive,property_valence=negative","How likely is someone being greedy to comfort people?","condition=positive,verb_valence=negative,property_valence=negative","Stephanie tells you: ""It annoys me that Amanda is jealous"". How likely is someone being jealous to annoy people?","condition=negative,verb_valence=positive,property_valence=negative","Nicole tells you: ""It doesn't delight me that Melissa is rude"". How likely is someone being rude to delight people?","condition=positive,verb_valence=positive,property_valence=negative","Nicole tells you: ""It comforts me that Amanda is stupid"". How likely is someone being stupid to comfort people?","condition=negative,verb_valence=positive,property_valence=positive","Jennifer tells you: ""It doesn't amuse me that Stephanie is smart"". How likely is someone being smart to amuse people?","condition=negative,verb_valence=negative,property_valence=negative","Nicole tells you: ""It doesn't bother me that Sarah is jealous"". How likely is someone being jealous to bother people?","condition=prior,verb_valence=negative,property_valence=positive","How likely is someone being talented to bother people?","condition=positive,verb_valence=positive,property_valence=positive","Ashley tells you: ""It comforts me that Stephanie is talented"". How likely is someone being talented to comfort people?"
4,"condition=prior,verb_valence=positive,property_valence=positive","How likely is someone being courageous to comfort people?","condition=positive,verb_valence=positive,property_valence=positive","Ashley tells you: ""It inspires me that Nicole is smart"". How likely is someone being smart to inspire people?","condition=negative,verb_valence=negative,property_valence=positive","Jessica tells you: ""It doesn't bother me that Nicole is talented"". How likely is someone being talented to bother people?","condition=negative,verb_valence=positive,property_valence=positive","Sarah tells you: ""It doesn't inspire me that Jessica is smart"". How likely is someone being smart to inspire people?","condition=positive,verb_valence=positive,property_valence=negative","Jennifer tells you: ""It inspires me that Melissa is jealous"". How likely is someone being jealous to inspire people?","condition=negative,verb_valence=positive,property_valence=negative","Nicole tells you: ""It doesn't amuse me that Sarah is jealous"". How likely is someone being jealous to amuse people?","condition=positive,verb_valence=negative,property_valence=positive","Stephanie tells you: ""It worries me that Jennifer is courageous"". How likely is someone being courageous to worry people?","condition=negative,verb_valence=negative,property_valence=negative","Amanda tells you: ""It doesn't upset me that Ashley is stupid"". How likely is someone being stupid to upset people?","condition=prior,verb_valence=negative,property_valence=negative","How likely is someone being greedy to upset people?","condition=prior,verb_valence=negative,property_valence=positive","How likely is someone being smart to bother people?","condition=positive,verb_valence=negative,property_valence=negative","Amanda tells you: ""It annoys me that Sarah is stupid"". How likely is someone being stupid to annoy people?","condition=prior,verb_valence=positive,property_valence=negative","How likely is someone being stupid to delight people?"
5,"condition=positive,verb_valence=negative,property_valence=negative","Nicole tells you: ""It bothers me that Jennifer is greedy"". How likely is someone being greedy to bother people?","condition=positive,verb_valence=negative,property_valence=positive","Ashley tells you: ""It upsets me that Sarah is smart"". How likely is someone being smart to upset people?","condition=prior,verb_valence=positive,property_valence=negative","How likely is someone being greedy to amuse people?","condition=prior,verb_valence=negative,property_valence=positive","How likely is someone being smart to upset people?","condition=prior,verb_valence=positive,property_valence=positive","How likely is someone being smart to inspire people?","condition=negative,verb_valence=negative,property_valence=negative","Stephanie tells you: ""It doesn't worry me that Amanda is jealous"". How likely is someone being jealous to worry people?","condition=positive,verb_valence=positive,property_valence=positive","Stephanie tells you: ""It amuses me that Sarah is courageous"". How likely is someone being courageous to amuse people?","condition=prior,verb_valence=negative,property_valence=negative","How likely is someone being jealous to upset people?","condition=positive,verb_valence=positive,property_valence=negative","Melissa tells you: ""It delights me that Ashley is stupid"". How likely is someone being stupid to delight people?","condition=negative,verb_valence=negative,property_valence=positive","Jessica tells you: ""It doesn't worry me that Stephanie is talented"". How likely is someone being talented to worry people?","condition=negative,verb_valence=positive,property_valence=negative","Melissa tells you: ""It doesn't comfort me that Jessica is stupid"". How likely is someone being stupid to comfort people?","condition=negative,verb_valence=positive,property_valence=positive","Stephanie tells you: ""It doesn't delight me that Nicole is smart"". How likely is someone being smart to delight people?"
6,"condition=positive,verb_valence=positive,property_valence=positive","Sarah tells you: ""It inspires me that Ashley is talented"". How likely is someone being talented to inspire people?","condition=negative,verb_valence=negative,property_valence=negative","Jessica tells you: ""It doesn't bother me that Ashley is rude"". How likely is someone being rude to bother people?","condition=prior,verb_valence=positive,property_valence=positive","How likely is someone being talented to comfort people?","condition=positive,verb_valence=positive,property_valence=negative","Ashley tells you: ""It inspires me that Jessica is rude"". How likely is someone being rude to inspire people?","condition=positive,verb_valence=negative,property_valence=negative","Amanda tells you: ""It worries me that Sarah is rude"". How likely is someone being rude to worry people?","condition=prior,verb_valence=positive,property_valence=negative","How likely is someone being rude to inspire people?","condition=negative,verb_valence=positive,property_valence=positive","Jessica tells you: ""It doesn't amuse me that Jennifer is playful"". How likely is someone being playful to amuse people?","condition=prior,verb_valence=negative,property_valence=negative","How likely is someone being rude to upset people?","condition=prior,verb_valence=negative,property_valence=positive","How likely is someone being courageous to bother people?","condition=negative,verb_valence=positive,property_valence=negative","Sarah tells you: ""It doesn't delight me that Nicole is jealous"". How likely is someone being jealous to delight people?","condition=negative,verb_valence=negative,property_valence=positive","Stephanie tells you: ""It doesn't upset me that Jessica is talented"". How likely is someone being talented to upset people?","condition=positive,verb_valence=negative,property_valence=positive","Jessica tells you: ""It bothers me that Nicole is smart"". How likely is someone being smart to bother people?"
7,"condition=negative,verb_valence=positive,property_valence=positive","Amanda tells you: ""It doesn't amuse me that Stephanie is courageous"". How likely is someone being courageous to amuse people?","condition=positive,verb_valence=negative,property_valence=negative","Jessica tells you: ""It worries me that Ashley is jealous"". How likely is someone being jealous to worry people?","condition=negative,verb_valence=positive,property_valence=negative","Jessica tells you: ""It doesn't comfort me that Melissa is rude"". How likely is someone being rude to comfort people?","condition=positive,verb_valence=negative,property_valence=positive","Ashley tells you: ""It bothers me that Stephanie is playful"". How likely is someone being playful to bother people?","condition=positive,verb_valence=positive,property_valence=positive","Jennifer tells you: ""It amuses me that Stephanie is talented"". How likely is someone being talented to amuse people?","condition=negative,verb_valence=negative,property_valence=positive","Stephanie tells you: ""It doesn't bother me that Nicole is playful"". How likely is someone being playful to bother people?","condition=positive,verb_valence=positive,property_valence=negative","Nicole tells you: ""It delights me that Jessica is rude"". How likely is someone being rude to delight people?","condition=prior,verb_valence=positive,property_valence=negative","How likely is someone being greedy to inspire people?","condition=prior,verb_valence=negative,property_valence=positive","How likely is someone being courageous to upset people?","condition=prior,verb_valence=positive,property_valence=positive","How likely is someone being courageous to delight people?","condition=negative,verb_valence=negative,property_valence=negative","Ashley tells you: ""It doesn't worry me that Jessica is stupid"". How likely is someone being stupid to worry people?","condition=prior,verb_valence=negative,property_valence=negative","How likely is someone being stupid to upset people?"
8,"condition=negative,verb_valence=negative,property_valence=negative","Ashley tells you: ""It doesn't upset me that Jennifer is jealous"". How likely is someone being jealous to upset people?","condition=prior,verb_valence=negative,property_valence=positive","How likely is someone being talented to worry people?","condition=negative,verb_valence=positive,property_valence=positive","Amanda tells you: ""It doesn't delight me that Jessica is playful"". How likely is someone being playful to delight people?","condition=prior,verb_valence=positive,property_valence=positive","How likely is someone being smart to delight people?","condition=positive,verb_valence=positive,property_valence=negative","Melissa tells you: ""It delights me that Jennifer is greedy"". How likely is someone being greedy to delight people?","condition=prior,verb_valence=positive,property_valence=negative","How likely is someone being rude to delight people?","condition=negative,verb_valence=positive,property_valence=negative","Jennifer tells you: ""It doesn't delight me that Nicole is greedy"". How likely is someone being greedy to delight people?","condition=positive,verb_valence=negative,property_valence=negative","Stephanie tells you: ""It bothers me that Ashley is jealous"". How likely is someone being jealous to bother people?","condition=prior,verb_valence=negative,property_valence=negative","How likely is someone being rude to bother people?","condition=positive,verb_valence=positive,property_valence=positive","Jessica tells you: ""It comforts me that Stephanie is courageous"". How likely is someone being courageous to comfort people?","condition=positive,verb_valence=negative,property_valence=positive","Melissa tells you: ""It upsets me that Jennifer is courageous"". How likely is someone being courageous to upset people?","condition=negative,verb_valence=negative,property_valence=positive","Jennifer tells you: ""It doesn't upset me that Melissa is playful"". How likely is someone being playful to upset people?"
9,"condition=positive,verb_valence=negative,property_valence=positive","Ashley tells you: ""It worries me that Amanda is playful"". How likely is someone being playful to worry people?","condition=negative,verb_valence=positive,property_valence=positive","Jessica tells you: ""It doesn't inspire me that Melissa is courageous"". How likely is someone being courageous to inspire people?","condition=prior,verb_valence=positive,property_valence=negative","How likely is someone being jealous to delight people?","condition=positive,verb_valence=negative,property_valence=negative","Amanda tells you: ""It bothers me that Jessica is stupid"". How likely is someone being stupid to bother people?","condition=negative,verb_valence=negative,property_valence=negative","Jennifer tells you: ""It doesn't annoy me that Sarah is stupid"". How likely is someone being stupid to annoy people?","condition=prior,verb_valence=negative,property_valence=negative","How likely is someone being greedy to worry people?","condition=negative,verb_valence=positive,property_valence=negative","Nicole tells you: ""It doesn't comfort me that Jessica is greedy"". How likely is someone being greedy to comfort people?","condition=negative,verb_valence=negative,property_valence=positive","Ashley tells you: ""It doesn't worry me that Stephanie is smart"". How likely is someone being smart to worry people?","condition=positive,verb_valence=positive,property_valence=negative","Jennifer tells you: ""It comforts me that Sarah is greedy"". How likely is someone being greedy to comfort people?","condition=prior,verb_valence=positive,property_valence=positive","How likely is someone being playful to comfort people?","condition=prior,verb_valence=negative,property_valence=positive","How likely is someone being smart to worry people?","condition=positive,verb_valence=positive,property_valence=positive","Amanda tells you: ""It inspires me that Melissa is courageous"". How likely is someone being courageous to inspire people?"
10,"condition=prior,verb_valence=negative,property_valence=negative","How likely is someone being stupid to annoy people?","condition=positive,verb_valence=positive,property_valence=negative","Sarah tells you: ""It amuses me that Ashley is greedy"". How likely is someone being greedy to amuse people?","condition=prior,verb_valence=positive,property_valence=negative","How likely is someone being stupid to inspire people?","condition=negative,verb_valence=positive,property_valence=positive","Stephanie tells you: ""It doesn't delight me that Jessica is talented"". How likely is someone being talented to delight people?","condition=negative,verb_valence=positive,property_valence=negative","Nicole tells you: ""It doesn't inspire me that Sarah is greedy"". How likely is someone being greedy to inspire people?","condition=negative,verb_valence=negative,property_valence=positive","Amanda tells you: ""It doesn't bother me that Stephanie is smart"". How likely is someone being smart to bother people?","condition=positive,verb_valence=negative,property_valence=negative","Nicole tells you: ""It upsets me that Jessica is greedy"". How likely is someone being greedy to upset people?","condition=positive,verb_valence=negative,property_valence=positive","Amanda tells you: ""It worries me that Melissa is smart"". How likely is someone being smart to worry people?","condition=negative,verb_valence=negative,property_valence=negative","Jennifer tells you: ""It doesn't bother me that Melissa is stupid"". How likely is someone being stupid to bother people?","condition=prior,verb_valence=positive,property_valence=positive","How likely is someone being playful to amuse people?","condition=prior,verb_valence=negative,property_valence=positive","How likely is someone being playful to upset people?","condition=positive,verb_valence=positive,property_valence=positive","Sarah tells you: ""It inspires me that Jessica is playful"". How likely is someone being playful to inspire people?"
11,"condition=prior,verb_valence=positive,property_valence=positive","How likely is someone being playful to delight people?","condition=negative,verb_valence=positive,property_valence=negative","Jessica tells you: ""It doesn't inspire me that Melissa is jealous"". How likely is someone being jealous to inspire people?","condition=positive,verb_valence=positive,property_valence=negative","Sarah tells you: ""It comforts me that Stephanie is jealous"". How likely is someone being jealous to comfort people?","condition=prior,verb_valence=negative,property_valence=negative","How likely is someone being greedy to bother people?","condition=prior,verb_valence=negative,property_valence=positive","How likely is someone being talented to upset people?","condition=negative,verb_valence=negative,property_valence=negative","Jessica tells you: ""It doesn't annoy me that Ashley is jealous"". How likely is someone being jealous to annoy people?","condition=negative,verb_valence=positive,property_valence=positive","Jennifer tells you: ""It doesn't comfort me that Jessica is playful"". How likely is someone being playful to comfort people?","condition=positive,verb_valence=negative,property_valence=negative","Stephanie tells you: ""It bothers me that Sarah is rude"". How likely is someone being rude to bother people?","condition=positive,verb_valence=negative,property_valence=positive","Jessica tells you: ""It annoys me that Stephanie is talented"". How likely is someone being talented to annoy people?","condition=prior,verb_valence=positive,property_valence=negative","How likely is someone being stupid to amuse people?","condition=negative,verb_valence=negative,property_valence=positive","Jessica tells you: ""It doesn't annoy me that Melissa is talented"". How likely is someone being talented to annoy people?","condition=positive,verb_valence=positive,property_valence=positive","Sarah tells you: ""It delights me that Melissa is talented"". How likely is someone being talented to delight people?"
12,"condition=prior,verb_valence=positive,property_valence=positive","How likely is someone being smart to amuse people?","condition=positive,verb_valence=positive,property_valence=positive","Nicole tells you: ""It delights me that Amanda is smart"". How likely is someone being smart to delight people?","condition=prior,verb_valence=positive,property_valence=negative","How likely is someone being jealous to comfort people?","condition=prior,verb_valence=negative,property_valence=negative","How likely is someone being greedy to annoy people?","condition=positive,verb_valence=positive,property_valence=negative","Ashley tells you: ""It inspires me that Jennifer is greedy"". How likely is someone being greedy to inspire people?","condition=negative,verb_valence=negative,property_valence=positive","Jessica tells you: ""It doesn't annoy me that Stephanie is playful"". How likely is someone being playful to annoy people?","condition=positive,verb_valence=negative,property_valence=positive","Stephanie tells you: ""It annoys me that Jessica is playful"". How likely is someone being playful to annoy people?","condition=positive,verb_valence=negative,property_valence=negative","Nicole tells you: ""It annoys me that Sarah is rude"". How likely is someone being rude to annoy people?","condition=negative,verb_valence=positive,property_valence=positive","Jessica tells you: ""It doesn't amuse me that Jennifer is talented"". How likely is someone being talented to amuse people?","condition=negative,verb_valence=positive,property_valence=negative","Amanda tells you: ""It doesn't amuse me that Ashley is greedy"". How likely is someone being greedy to amuse people?","condition=prior,verb_valence=negative,property_valence=positive","How likely is someone being playful to bother people?","condition=negative,verb_valence=negative,property_valence=negative","Stephanie tells you: ""It doesn't annoy me that Jennifer is rude"". How likely is someone being rude to annoy people?"
13,"condition=prior,verb_valence=positive,property_valence=positive","How likely is someone being talented to amuse people?","condition=negative,verb_valence=positive,property_valence=positive","Ashley tells you: ""It doesn't comfort me that Nicole is courageous"". How likely is someone being courageous to comfort people?","condition=negative,verb_valence=negative,property_valence=positive","Melissa tells you: ""It doesn't worry me that Amanda is courageous"". How likely is someone being courageous to worry people?","condition=negative,verb_valence=negative,property_valence=negative","Ashley tells you: ""It doesn't upset me that Stephanie is greedy"". How likely is someone being greedy to upset people?","condition=prior,verb_valence=negative,property_valence=negative","How likely is someone being jealous to annoy people?","condition=negative,verb_valence=positive,property_valence=negative","Stephanie tells you: ""It doesn't amuse me that Amanda is stupid"". How likely is someone being stupid to amuse people?","condition=positive,verb_valence=negative,property_valence=negative","Jessica tells you: ""It worries me that Jennifer is greedy"". How likely is someone being greedy to worry people?","condition=positive,verb_valence=positive,property_valence=positive","Amanda tells you: ""It comforts me that Melissa is playful"". How likely is someone being playful to comfort people?","condition=prior,verb_valence=positive,property_valence=negative","How likely is someone being stupid to comfort people?","condition=positive,verb_valence=positive,property_valence=negative","Jessica tells you: ""It amuses me that Melissa is stupid"". How likely is someone being stupid to amuse people?","condition=prior,verb_valence=negative,property_valence=positive","How likely is someone being courageous to worry people?","condition=positive,verb_valence=negative,property_valence=positive","Stephanie tells you: ""It worries me that Nicole is talented"". How likely is someone being talented to worry people?"
14,"condition=positive,verb_valence=negative,property_valence=positive","Jennifer tells you: ""It bothers me that Nicole is talented"". How likely is someone being talented to bother people?","condition=positive,verb_valence=positive,property_valence=positive","Amanda tells you: ""It amuses me that Jessica is smart"". How likely is someone being smart to amuse people?","condition=prior,verb_valence=positive,property_valence=negative","How likely is someone being rude to comfort people?","condition=negative,verb_valence=positive,property_valence=negative","Jessica tells you: ""It doesn't inspire me that Sarah is rude"". How likely is someone being rude to inspire people?","condition=negative,verb_valence=positive,property_valence=positive","Melissa tells you: ""It doesn't inspire me that Ashley is playful"". How likely is someone being playful to inspire people?","condition=prior,verb_valence=negative,property_valence=positive","How likely is someone being talented to annoy people?","condition=negative,verb_valence=negative,property_valence=positive","Sarah tells you: ""It doesn't upset me that Ashley is courageous"". How likely is someone being courageous to upset people?","condition=negative,verb_valence=negative,property_valence=negative","Melissa tells you: ""It doesn't annoy me that Nicole is greedy"". How likely is someone being greedy to annoy people?","condition=prior,verb_valence=positive,property_valence=positive","How likely is someone being talented to inspire people?","condition=positive,verb_valence=negative,property_valence=negative","Stephanie tells you: ""It worries me that Ashley is stupid"". How likely is someone being stupid to worry people?","condition=prior,verb_valence=negative,property_valence=negative","How likely is someone being stupid to bother people?","condition=positive,verb_valence=positive,property_valence=negative","Amanda tells you: ""It comforts me that Jessica is rude"". How likely is someone being rude to comfort people?"
15,"condition=prior,verb_valence=negative,property_valence=negative","How likely is someone being rude to worry people?","condition=positive,verb_valence=positive,property_valence=negative","Jennifer tells you: ""It delights me that Ashley is jealous"". How likely is someone being jealous to delight people?","condition=negative,verb_valence=positive,property_valence=positive","Jessica tells you: ""It doesn't comfort me that Sarah is smart"". How likely is someone being smart to comfort people?","condition=prior,verb_valence=negative,property_valence=positive","How likely is someone being courageous to annoy people?","condition=negative,verb_valence=negative,property_valence=negative","Amanda tells you: ""It doesn't worry me that Jessica is rude"". How likely is someone being rude to worry people?","condition=negative,verb_valence=negative,property_valence=positive","Melissa tells you: ""It doesn't worry me that Jessica is playful"". How likely is someone being playful to worry people?","condition=negative,verb_valence=positive,property_valence=negative","Amanda tells you: ""It doesn't amuse me that Stephanie is rude"". How likely is someone being rude to amuse people?","condition=positive,verb_valence=positive,property_valence=positive","Jennifer tells you: ""It delights me that Jessica is playful"". How likely is someone being playful to delight people?","condition=prior,verb_valence=positive,property_valence=positive","How likely is someone being playful to inspire people?","condition=positive,verb_valence=negative,property_valence=positive","Stephanie tells you: ""It upsets me that Ashley is talented"". How likely is someone being talented to upset people?","condition=positive,verb_valence=negative,property_valence=negative","Jennifer tells you: ""It upsets me that Ashley is stupid"". How likely is someone being stupid to upset people?","condition=prior,verb_valence=positive,property_valence=negative","How likely is someone being jealous to amuse people?"
16,"condition=positive,verb_valence=negative,property_valence=positive","Sarah tells you: ""It annoys me that Jessica is courageous"". How likely is someone being courageous to annoy people?","condition=prior,verb_valence=positive,property_valence=negative","How likely is someone being jealous to inspire people?","condition=prior,verb_valence=negative,property_valence=positive","How likely is someone being smart to annoy people?","condition=prior,verb_valence=negative,property_valence=negative","How likely is someone being stupid to worry people?","condition=negative,verb_valence=positive,property_valence=negative","Amanda tells you: ""It doesn't inspire me that Nicole is stupid"". How likely is someone being stupid to inspire people?","condition=negative,verb_valence=negative,property_valence=positive","Stephanie tells you: ""It doesn't annoy me that Nicole is courageous"". How likely is someone being courageous to annoy people?","condition=positive,verb_valence=positive,property_valence=negative","Jennifer tells you: ""It inspires me that Nicole is stupid"". How likely is someone being stupid to inspire people?","condition=positive,verb_valence=positive,property_valence=positive","Amanda tells you: ""It comforts me that Sarah is smart"". How likely is someone being smart to comfort people?","condition=positive,verb_valence=negative,property_valence=negative","Stephanie tells you: ""It upsets me that Ashley is rude"". How likely is someone being rude to upset people?","condition=negative,verb_valence=positive,property_valence=positive","Jennifer tells you: ""It doesn't inspire me that Jessica is talented"". How likely is someone being talented to inspire people?","condition=prior,verb_valence=positive,property_valence=positive","How likely is someone being smart to comfort people?","condition=negative,verb_valence=negative,property_valence=negative","Melissa tells you: ""It doesn't bother me that Nicole is greedy"". How likely is someone being greedy to bother people?"
